Kode Kecamatan,Kecamatan,Kode Kelurahan,Kelurahan,Belum/Tidak Bekerja,Aparatur Pejabat Negara,Tenaga Pengajar,Wiraswasta,Pertanian dan Peternakan,Nelayan,Agama dan Kepercayaan,Pelajar dan Mahasiswa,Tenaga Kesehatan,Pensiunan,Pekerjaan Lainnya,,,,,
32.73.26,Ujungberung,32.73.26.1005,Pasir Wangi,4102,576,173,5299,51,0,7,3401,55,140,3871,,,,,
32.73.26,Ujungberung,32.73.26.1006,Pasirjati,3945,620,182,5425,22,0,10,3652,46,184,3865,,,,,
32.73.26,Ujungberung,32.73.26.1007,Pasanggrahan,4607,635,240,6232,68,0,4,4189,70,240,4502,,,,,
32.73.27,Gedebage,32.73.27.1001,Cimencrang,995,189,35,1321,27,0,2,856,19,12,873,,,,,
32.73.27,Gedebage,32.73.27.1002,Cisaranten Kidul,4404,1034,252,6413,37,0,6,4141,82,551,4286,,,,,
32.73.27,Gedebage,32.73.27.1003,Rancabolang,2395,589,131,3335,17,1,5,2604,59,115,2079,,,,,
32.73.27,Gedebage,32.73.27.1004,Rancanumpang,961,340,85,1352,25,0,4,1428,16,81,914,,,,,
32.73.28,Panyileukan,32.73.28.1003,Cipadung Kulon,2837,601,144,4327,17,0,3,2987,48,220,2813,,,,,
32.73.28,Panyileukan,32.73.28.1004,Cipadung Kidul,2809,1242,261,4463,7,1,4,3646,71,430,2726,,,,,
32.73.28,Panyileukan,32.73.28.1001,Cipadung Wetan,765,39,19,1159,14,1,3,701,5,19,857,,,,,
32.73.28,Panyileukan,32.73.28.1002,Mekar Mulya,1597,544,112,2228,4,0,3,1400,40,272,1327,,,,,
32.73.29,Cinambo,32.73.29.1002,Cisaranten Wetan,1222,196,42,2084,4,0,2,1256,13,61,1333,,,,,
32.73.29,Cinambo,32.73.29.1003,Pakemitan,1299,751,66,1726,8,1,1,1192,47,108,1282,,,,,
32.73.29,Cinambo,32.73.29.1001,Sukamulya,1059,92,59,1947,4,0,0,1108,11,52,1174,,,,,
32.73.29,Cinambo,32.73.29.1004,Babakan Penghulu,1408,223,63,2455,8,1,3,1504,24,59,1637,,,,,
32.73.30,Mandalajati,32.73.30.1001,Jatihandap,5616,728,217,8835,5,2,1,5481,48,242,5761,,,,,
32.73.30,Mandalajati,32.73.30.1002,Karang Pamulang,3856,514,138,6092,5,0,2,3887,44,180,4065,,,,,
32.73.30,Mandalajati,32.73.30.1003,Pasir Impun,2768,332,92,4225,6,0,0,2748,21,91,3050,,,,,
32.73.30,Mandalajati,32.73.30.1004,Sindang Jaya,2979,496,145,4759,6,1,1,3158,32,271,3044,,,,,
